b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-02-01',b'02:00:00',b'0.0',b'22.8',b'',b'',b'99',b'',b'263',b'1',b'',b'',b'',b'',b'1002.4',b'1011.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'3',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-02-01',b'03:00:00',b'0.0',b'25.4',b'',b'',b'96',b'',b'080',b'5',b'',b'',b'',b'',b'1003.2',b'1012.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'4',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-02-01',b'04:00:00',b'0.0',b'26.2',b'',b'',b'93',b'',b'042',b'5',b'',b'',b'',b'',b'1003.3',b'1012.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'5',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-02-01',b'05:00:00',b'0.0',b'27.0',b'',b'',b'87',b'',b'079',b'6',b'',b'',b'',b'',b'1002.9',b'1011.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'6',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-02-01',b'06:00:00',b'0.0',b'27.7',b'',b'',b'87',b'',b'106',b'3',b'',b'',b'',b'',b'1002.3',b'1011.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'7',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-02-01',b'07:00:00',b'0.0',b'27.6',b'',b'',b'88',b'',b'057',b'5',b'',b'',b'',b'',b'1001.2',b'1010.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'8',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-02-01',b'08:00:00',b'0.0',b'27.6',b'',b'',b'87',b'',b'091',b'8',b'',b'',b'',b'',b'1000.2',b'1009.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'9',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-02-01',b'09:00:00',b'0.0',b'27.4',b'',b'',b'88',b'',b'076',b'6',b'',b'',b'',b'',b'999.5',b'1008.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'10',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-02-01',b'10:00:00',b'0.0',b'27.1',b'',b'',b'87',b'',b'074',b'4',b'',b'',b'',b'',b'999.6',b'1008.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'11',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-02-01',b'11:00:00',b'0.0',b'26.5',b'',b'',b'91',b'',b'067',b'4',b'',b'',b'',b'',b'1000.0',b'1009.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.2',b'L'
