b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'04:00:00',b'0',b'29.4',b'',b'',b'84',b'',b'118',b'1',b'',b'',b'',b'',b'1000.5',b'1003.0',b'01.27',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'3',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'05:00:00',b'0',b'31.1',b'',b'',b'79',b'',b'172',b'2',b'',b'',b'',b'',b'1000.3',b'1002.8',b'02.27',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.3',b'L'
b'4',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'06:00:00',b'0',b'31.3',b'',b'',b'76',b'',b'228',b'4',b'',b'',b'',b'',b'1000.4',b'1002.9',b'03.27',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.2',b'L'
b'5',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'07:00:00',b'0',b'33.1',b'',b'',b'73',b'',b'216',b'1',b'',b'',b'',b'',b'1000.0',b'1002.5',b'04.27',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'6',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'08:00:00',b'0',b'32.5',b'',b'',b'73',b'',b'223',b'2',b'',b'',b'',b'',b'999.4',b'1001.9',b'05.27',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
b'7',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'09:00:00',b'0',b'31.3',b'',b'',b'77',b'',b'195',b'2',b'',b'',b'',b'',b'998.8',b'1001.3',b'06.27',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.8',b'L'
b'8',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'10:00:00',b'0',b'30.9',b'',b'',b'76',b'',b'218',b'3',b'',b'',b'',b'',b'998.7',b'1001.2',b'07.27',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'9',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'11:00:00',b'0',b'30.3',b'',b'',b'78',b'',b'212',b'2',b'',b'',b'',b'',b'998.9',b'1001.4',b'08.27',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'10',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'12:00:00',b'0',b'29.8',b'',b'33.2',b'81',b'',b'198',b'1',b'',b'',b'',b'',b'999.3',b'1001.8',b'08.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'11',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'13:00:00',b'0',b'29.4',b'',b'',b'84',b'',b'234',b'0',b'',b'',b'',b'',b'1000.4',b'1002.9',b'08.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'12',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'14:00:00',b'0',b'29.1',b'',b'',b'86',b'',b'160',b'2',b'',b'',b'',b'',b'1000.9',b'1003.4',b'08.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'13',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'15:00:00',b'0',b'29.0',b'',b'',b'87',b'',b'201',b'2',b'',b'',b'',b'',b'1001.8',b'1004.3',b'08.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'14',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'16:00:00',b'0',b'28.8',b'',b'',b'87',b'',b'214',b'3',b'',b'',b'',b'',b'1002.3',b'1004.8',b'08.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'15',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'17:00:00',b'0',b'28.5',b'',b'',b'90',b'',b'160',b'1',b'',b'',b'',b'',b'1002.4',b'1004.9',b'08.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'16',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'18:00:00',b'0',b'28.4',b'',b'',b'91',b'',b'191',b'2',b'',b'',b'',b'',b'1002.3',b'1004.8',b'08.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'17',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'19:00:00',b'0',b'28.1',b'',b'',b'95',b'',b'181',b'1',b'',b'',b'',b'',b'1002.3',b'1004.8',b'08.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'18',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'20:00:00',b'0',b'27.9',b'',b'',b'96',b'',b'178',b'1',b'',b'',b'',b'',b'1002.2',b'1004.7',b'08.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'19',b'DHAKA',b'DHAKAUNI',b'2020-07-23',b'23:00:00',b'0',b'27.6',b'',b'',b'93',b'',b'164',b'1',b'',b'',b'',b'',b'1002.7',b'1005.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'20',b'DHAKA',b'DHAKAUNI',b'2020-07-24',b'00:00:00',b'0',b'27.5',b'',b'',b'93',b'',b'112',b'1',b'',b'',b'',b'',b'1003.4',b'1005.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'21',b'DHAKA',b'DHAKAUNI',b'2020-07-24',b'02:00:00',b'0',b'27.5',b'',b'',b'94',b'',b'142',b'1',b'',b'',b'',b'',b'1004.4',b'1006.9',b'00.02',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'22',b'DHAKA',b'DHAKAUNI',b'2020-07-24',b'04:00:00',b'0',b'27.9',b'',b'',b'92',b'',b'216',b'2',b'',b'',b'',b'',b'1005.0',b'1007.5',b'01.28',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'23',b'DHAKA',b'DHAKAUNI',b'2020-07-24',b'05:00:00',b'0',b'28.5',b'',b'',b'90',b'',b'117',b'2',b'',b'',b'',b'',b'1004.9',b'1007.4',b'02.28',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'24',b'DHAKA',b'DHAKAUNI',b'2020-07-24',b'06:00:00',b'0',b'29.3',b'',b'',b'87',b'',b'163',b'1',b'',b'',b'',b'',b'1004.8',b'1007.3',b'03.27',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'25',b'DHAKA',b'DHAKAUNI',b'2020-07-24',b'07:00:00',b'0',b'30.7',b'',b'',b'79',b'',b'162',b'2',b'',b'',b'',b'',b'1004.1',b'1006.6',b'04.23',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'26',b'DHAKA',b'DHAKAUNI',b'2020-07-24',b'08:00:00',b'0',b'31.9',b'',b'',b'70',b'',b'195',b'3',b'',b'',b'',b'',b'1003.6',b'1006.1',b'05.23',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
