b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'GASA',b'GASA',b'2022-04-01',b'04:00:00',b'1.0',b'12.5',b'',b'',b'',b'',b'179',b'6',b'',b'',b'',b'',b'718.9',b'2566.1',b'03.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'3',b'GASA',b'GASA',b'2022-04-01',b'11:00:00',b'1.0',b'11.3',b'',b'',b'',b'',b'334',b'3',b'',b'',b'',b'',b'716.9',b'2592.5',b'06.30',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'4',b'GASA',b'GASA',b'2022-04-02',b'03:00:00',b'2.0',b'16.3',b'',b'',b'',b'',b'107',b'4',b'',b'',b'',b'',b'721.5',b'2479.0',b'02.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'5',b'GASA',b'GASA',b'2022-04-02',b'05:00:00',b'1.0',b'15.3',b'',b'',b'',b'',b'209',b'7',b'',b'',b'',b'',b'721.3',b'2502.5',b'04.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'6',b'GASA',b'GASA',b'2022-04-02',b'06:00:00',b'1.0',b'16.8',b'',b'',b'',b'',b'182',b'6',b'',b'',b'',b'',b'720.8',b'2465.8',b'05.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'7',b'GASA',b'GASA',b'2022-04-02',b'08:00:00',b'1.0',b'17.7',b'',b'',b'',b'',b'204',b'5',b'',b'',b'',b'',b'718.8',b'2440.4',b'07.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'8',b'GASA',b'GASA',b'2022-04-02',b'09:00:00',b'1.0',b'16.4',b'',b'',b'',b'',b'159',b'4',b'',b'',b'',b'',b'718.4',b'2471.1',b'08.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.4',b'L'
b'9',b'GASA',b'GASA',b'2022-04-03',b'03:00:00',b'7.0',b'11.5',b'',b'',b'',b'',b'120',b'2',b'',b'',b'',b'',b'720.4',b'2592.1',b'02.28',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'10',b'GASA',b'GASA',b'2022-04-03',b'04:00:00',b'1.0',b'12.3',b'',b'',b'',b'',b'187',b'5',b'',b'',b'',b'',b'720.2',b'2572.7',b'03.28',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'11',b'GASA',b'GASA',b'2022-04-03',b'05:00:00',b'2.0',b'13.5',b'',b'',b'',b'',b'174',b'5',b'',b'',b'',b'',b'719.8',b'2543.3',b'04.28',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'12',b'GASA',b'GASA',b'2022-04-03',b'06:00:00',b'3.0',b'11.0',b'',b'',b'',b'',b'144',b'2',b'',b'',b'',b'',b'719.3',b'2602.7',b'05.23',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
b'13',b'GASA',b'GASA',b'2022-04-03',b'11:00:00',b'7.0',b'10.5',b'',b'',b'',b'',b'153',b'2',b'',b'',b'',b'',b'715.6',b'2610.5',b'05.43',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'14',b'GASA',b'GASA',b'2022-04-06',b'05:00:00',b'1.0',b'14.0',b'',b'',b'',b'',b'196',b'4',b'',b'',b'',b'',b'722.3',b'2535.1',b'03.57',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'15',b'GASA',b'GASA',b'2022-04-06',b'06:00:00',b'1.0',b'15.4',b'',b'',b'',b'',b'167',b'7',b'',b'',b'',b'',b'721.5',b'2500.5',b'04.57',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'16',b'GASA',b'GASA',b'2022-04-06',b'08:00:00',b'2.0',b'15.9',b'',b'',b'',b'',b'208',b'6',b'',b'',b'',b'',b'719.7',b'2485.4',b'06.57',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'17',b'GASA',b'GASA',b'2022-04-06',b'09:00:00',b'2.0',b'15.6',b'',b'',b'',b'',b'131',b'6',b'',b'',b'',b'',b'719.1',b'2491.6',b'07.57',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'18',b'GASA',b'GASA',b'2022-04-07',b'04:00:00',b'1.0',b'11.3',b'',b'',b'',b'',b'254',b'3',b'',b'',b'',b'',b'722.4',b'2599.3',b'02.10',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'19',b'GASA',b'GASA',b'2022-04-07',b'06:00:00',b'1.0',b'12.0',b'',b'',b'',b'',b'191',b'6',b'',b'',b'',b'',b'721.4',b'2581.4',b'04.10',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
