b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'02:00:00',b'0',b'7.1',b'',b'',b'99',b'',b'021',b'1',b'',b'',b'',b'',b'980.0',b'1020.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'3',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'03:00:00',b'0',b'7.1',b'',b'',b'99',b'',b'235',b'1',b'',b'',b'',b'',b'980.9',b'1020.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'4',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'04:00:00',b'0',b'9.3',b'',b'',b'99',b'',b'250',b'0',b'',b'',b'',b'',b'981.8',b'1021.5',b'00.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.8',b'L'
b'5',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'05:00:00',b'0',b'11.8',b'',b'',b'99',b'',b'307',b'1',b'',b'',b'',b'',b'982.6',b'1022.0',b'01.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'6',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'06:00:00',b'0',b'13.9',b'',b'',b'99',b'',b'217',b'1',b'',b'',b'',b'',b'982.4',b'1021.5',b'02.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'7',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'07:00:00',b'0',b'13.8',b'',b'',b'99',b'',b'256',b'2',b'',b'',b'',b'',b'982.2',b'1021.3',b'03.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'8',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'08:00:00',b'0',b'13.4',b'',b'',b'99',b'',b'291',b'3',b'',b'',b'',b'',b'981.7',b'1020.8',b'04.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'9',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'09:00:00',b'0',b'14.3',b'',b'',b'99',b'',b'304',b'2',b'',b'',b'',b'',b'980.9',b'1019.9',b'05.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'10',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'10:00:00',b'0',b'15.4',b'',b'',b'99',b'',b'268',b'2',b'',b'',b'',b'',b'980.8',b'1019.6',b'06.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'11',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'11:00:00',b'0',b'15.3',b'',b'',b'99',b'',b'275',b'1',b'',b'',b'',b'',b'980.9',b'1019.7',b'07.46',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'12',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'12:00:00',b'0',b'14.3',b'',b'15.7',b'99',b'',b'251',b'1',b'',b'',b'',b'',b'981.3',b'1020.3',b'08.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'13',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'14:00:00',b'0',b'11.8',b'',b'',b'99',b'',b'315',b'0',b'',b'',b'',b'',b'982.1',b'1021.5',b'08.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'14',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'15:00:00',b'0',b'11.3',b'',b'',b'99',b'',b'225',b'1',b'',b'',b'',b'',b'982.5',b'1022.0',b'08.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'15',b'CHANDIGARH',b'CHANDIGARH',b'2020-02-01',b'16:00:00',b'0',b'10.8',b'',b'',b'99',b'',b'234',b'1',b'',b'',b'',b'',b'982.7',b'1022.2',b'08.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
