b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'DUMKA',b'DUMKA_AMFU',b'2020-09-01',b'01:00:00',b'0',b'-37.4',b'',b'',b'1',b'',b'359',b'0',b'',b'',b'',b'',b'988.6',b'1008.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.8',b'U'
b'3',b'DUMKA',b'DUMKA_AMFU',b'2020-09-01',b'02:00:00',b'0',b'',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'989.4',b'1009.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.2',b'L'
b'4',b'DUMKA',b'DUMKA_AMFU',b'2020-09-01',b'03:00:00',b'0',b'',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'990.4',b'1007.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'5',b'DUMKA',b'DUMKA_AMFU',b'2020-09-01',b'04:00:00',b'0',b'',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'990.6',b'1010.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'6',b'DUMKA',b'DUMKA_AMFU',b'2020-09-01',b'05:00:00',b'0',b'',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'990.1',b'1010.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'7',b'DUMKA',b'DUMKA_AMFU',b'2020-09-01',b'06:00:00',b'0',b'',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'990.2',b'1010.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'8',b'DUMKA',b'DUMKA_AMFU',b'2020-09-01',b'07:00:00',b'0',b'',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'989.4',b'1009.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'9',b'DUMKA',b'DUMKA_AMFU',b'2020-09-01',b'08:00:00',b'0',b'',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'988.3',b'1005.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
b'10',b'DUMKA',b'DUMKA_AMFU',b'2020-09-01',b'10:00:00',b'0',b'-36.6',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'987.8',b'1007.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
b'11',b'DUMKA',b'DUMKA_AMFU',b'2020-09-01',b'11:00:00',b'0',b'-28.8',b'',b'',b'8',b'',b'359',b'0',b'',b'',b'',b'',b'987.8',b'1006.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
