b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'00:15:00',b'0.0',b'28.7',b'',b'',b'82',b'',b'241',b'4',b'6',b'162',b'2',b'3',b'',b'',b'00.00',b'29.8',b'',b'29.8',b'',b'29.9',b'100',b'30.4',b'10',b'',b'',b'12.8',b'L'
b'3',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'00:30:00',b'0.0',b'28.8',b'',b'',b'81',b'',b'148',b'3',b'5',b'86',b'2',b'4',b'',b'',b'00.00',b'29.8',b'',b'29.8',b'',b'29.9',b'100',b'30.4',b'10',b'',b'',b'12.9',b'L'
b'4',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'00:45:00',b'0.0',b'28.8',b'',b'',b'81',b'',b'260',b'5',b'6',b'263',b'1',b'4',b'',b'',b'00.00',b'29.8',b'',b'29.8',b'',b'29.9',b'100',b'30.4',b'10',b'',b'',b'13.0',b'L'
b'5',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'01:00:00',b'0.0',b'28.8',b'',b'',b'80',b'',b'263',b'4',b'7',b'253',b'3',b'4',b'',b'',b'00.00',b'29.8',b'',b'29.8',b'',b'29.9',b'100',b'30.4',b'10',b'',b'',b'12.9',b'L'
b'6',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'01:15:00',b'0.0',b'28.9',b'',b'',b'79',b'',b'298',b'4',b'6',b'220',b'4',b'4',b'',b'',b'00.00',b'29.8',b'',b'29.8',b'',b'29.9',b'100',b'30.4',b'10',b'',b'',b'12.8',b'L'
b'7',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'01:30:00',b'0.0',b'29.0',b'',b'',b'80',b'',b'189',b'1',b'6',b'201',b'1',b'4',b'',b'',b'00.00',b'29.8',b'',b'29.8',b'',b'29.9',b'100',b'30.4',b'10',b'',b'',b'12.9',b'L'
b'8',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'02:00:00',b'0.0',b'29.2',b'',b'',b'80',b'',b'68',b'2',b'6',b'34',b'2',b'4',b'',b'',b'00.00',b'29.8',b'',b'29.8',b'',b'29.9',b'100',b'30.4',b'10',b'',b'',b'13.0',b'L'
b'9',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'02:15:00',b'0.0',b'29.6',b'',b'',b'79',b'',b'187',b'4',b'6',b'171',b'2',b'4',b'',b'',b'00.10',b'29.8',b'',b'29.8',b'',b'29.9',b'100',b'30.4',b'10',b'',b'',b'13.0',b'L'
b'10',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'02:30:00',b'0.0',b'29.9',b'',b'',b'78',b'',b'222',b'4',b'6',b'259',b'3',b'4',b'',b'',b'00.25',b'29.8',b'',b'29.8',b'',b'29.9',b'100',b'30.4',b'10',b'',b'',b'13.2',b'L'
b'11',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'02:45:00',b'0.0',b'30.3',b'',b'',b'77',b'',b'298',b'1',b'5',b'164',b'2',b'4',b'',b'',b'00.38',b'29.8',b'',b'29.8',b'',b'30.0',b'100',b'30.4',b'10',b'',b'',b'13.2',b'L'
b'12',b'KAVARATTI',b'KAVARATTI_KVK',b'2023-07-01',b'03:00:00',b'0.0',b'30.4',b'28.1',b'',b'78',b'88.',b'247',b'3',b'5',b'331',b'2',b'4',b'',b'',b'00.52',b'29.8',b'',b'29.8',b'',b'30.0',b'100',b'30.4',b'10',b'',b'',b'13.3',b'L'
