b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'IMPHAL_EAST',b'JIRIBAM',b'2023-07-01',b'00:15:00',b'4.0',b'25.4',b'',b'',b'100',b'',b'314',b'0',b'1',b'',b'',b'',b'1000.2',b'1005.6',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'3',b'IMPHAL_EAST',b'JIRIBAM',b'2023-07-01',b'00:30:00',b'4.0',b'25.6',b'',b'',b'99',b'',b'11',b'0',b'1',b'',b'',b'',b'1000.4',b'1005.8',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'4',b'IMPHAL_EAST',b'JIRIBAM',b'2023-07-01',b'00:45:00',b'4.0',b'25.7',b'',b'',b'99',b'',b'352',b'0',b'1',b'',b'',b'',b'1000.7',b'1006.1',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'5',b'IMPHAL_EAST',b'JIRIBAM',b'2023-07-01',b'01:00:00',b'4.0',b'25.8',b'',b'',b'99',b'',b'63',b'1',b'2',b'',b'',b'',b'1001.0',b'1006.4',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'6',b'IMPHAL_EAST',b'JIRIBAM',b'2023-07-01',b'01:15:00',b'4.0',b'25.9',b'',b'',b'99',b'',b'17',b'1',b'2',b'',b'',b'',b'1001.4',b'1006.8',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'7',b'IMPHAL_EAST',b'JIRIBAM',b'2023-07-01',b'01:30:00',b'4.0',b'25.9',b'',b'',b'99',b'',b'31',b'1',b'3',b'',b'',b'',b'1001.5',b'1006.9',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'8',b'IMPHAL_EAST',b'JIRIBAM',b'2023-07-01',b'01:45:00',b'4.0',b'26.0',b'',b'',b'100',b'',b'10',b'1',b'3',b'',b'',b'',b'1001.7',b'1007.1',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'9',b'IMPHAL_EAST',b'JIRIBAM',b'2023-07-01',b'02:00:00',b'4.0',b'26.2',b'',b'',b'100',b'',b'24',b'1',b'3',b'',b'',b'',b'1002.0',b'1007.4',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'10',b'IMPHAL_EAST',b'JIRIBAM',b'2023-07-01',b'02:15:00',b'4.0',b'26.4',b'',b'',b'100',b'',b'11',b'0',b'3',b'',b'',b'',b'1002.2',b'1007.6',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'11',b'IMPHAL_EAST',b'JIRIBAM',b'2023-07-01',b'02:30:00',b'4.0',b'26.7',b'',b'',b'99',b'',b'349',b'1',b'2',b'',b'',b'',b'1002.2',b'1007.6',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
