b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-07-01',b'03:00:00',b'1',b'30.2',b'',b'',b'95',b'',b'335',b'3',b'',b'',b'',b'',b'970.0',b'1002.5',b'02.13',b'',b'14',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'3',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-07-01',b'05:00:00',b'0',b'32.0',b'',b'',b'78',b'',b'262',b'5',b'',b'',b'',b'',b'969.7',b'1002.0',b'04.13',b'51.4',b'16',b'',b'',b'',b'',b'',b'',b'',b'',b'15.1',b'L'
b'4',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-07-01',b'06:00:00',b'13',b'25.5',b'',b'',b'99',b'',b'065',b'2',b'',b'',b'',b'',b'969.9',b'1002.9',b'04.38',b'',b'16',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'5',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-07-01',b'07:00:00',b'13',b'29.0',b'',b'',b'99',b'',b'190',b'1',b'',b'',b'',b'',b'969.0',b'1001.6',b'05.38',b'',b'16',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'6',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-07-01',b'08:00:00',b'13',b'32.0',b'',b'',b'98',b'',b'300',b'2',b'',b'',b'',b'',b'967.4',b'999.6',b'06.38',b'',b'15',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'7',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-07-01',b'09:00:00',b'13',b'33.2',b'',b'',b'72',b'',b'281',b'4',b'',b'',b'',b'',b'966.7',b'998.7',b'07.38',b'',b'15',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'8',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-07-01',b'10:00:00',b'13',b'32.7',b'',b'',b'78',b'',b'221',b'3',b'',b'',b'',b'',b'966.4',b'998.5',b'08.38',b'48.8',b'15',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'9',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-07-01',b'11:00:00',b'13',b'30.8',b'',b'',b'90',b'',b'020',b'1',b'',b'',b'',b'',b'966.4',b'998.7',b'09.12',b'',b'15',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'10',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-07-01',b'12:00:00',b'13',b'28.9',b'',b'34.1',b'99',b'',b'278',b'2',b'',b'',b'',b'',b'966.9',b'999.4',b'09.12',b'',b'15',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'11',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-07-01',b'13:00:00',b'13',b'27.8',b'',b'',b'99',b'',b'045',b'3',b'',b'',b'',b'',b'967.7',b'1000.3',b'09.12',b'',b'16',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
