b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SIRAHA',b'LAHAN',b'2021-12-28',b'04:00:00',b'0.0',b'17.0',b'',b'',b'99',b'',b'092',b'3',b'',b'',b'',b'',b'1007.1',b'1019.6',b'01.50',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'3',b'SIRAHA',b'LAHAN',b'2021-12-28',b'05:00:00',b'0.0',b'20.2',b'',b'',b'99',b'',b'106',b'3',b'',b'',b'',b'',b'1006.5',b'1018.9',b'02.50',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.7',b'L'
b'4',b'SIRAHA',b'LAHAN',b'2021-12-28',b'06:00:00',b'0.0',b'21.2',b'',b'',b'99',b'',b'142',b'2',b'',b'',b'',b'',b'1005.9',b'1018.2',b'03.50',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.3',b'L'
b'5',b'SIRAHA',b'LAHAN',b'2021-12-28',b'07:00:00',b'0.0',b'22.5',b'',b'',b'99',b'',b'146',b'2',b'',b'',b'',b'',b'1004.4',b'1016.6',b'04.50',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'6',b'SIRAHA',b'LAHAN',b'2021-12-28',b'08:00:00',b'0.0',b'22.9',b'',b'',b'99',b'',b'148',b'3',b'',b'',b'',b'',b'1002.9',b'1015.1',b'05.50',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'7',b'SIRAHA',b'LAHAN',b'2021-12-28',b'09:00:00',b'0.0',b'22.4',b'',b'',b'99',b'',b'113',b'3',b'',b'',b'',b'',b'1002.3',b'1014.5',b'06.50',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'8',b'SIRAHA',b'LAHAN',b'2021-12-28',b'10:00:00',b'0.0',b'21.7',b'',b'',b'99',b'',b'142',b'2',b'',b'',b'',b'',b'1002.3',b'1014.5',b'07.07',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'9',b'SIRAHA',b'LAHAN',b'2021-12-28',b'11:00:00',b'0.0',b'20.7',b'',b'',b'99',b'',b'099',b'2',b'',b'',b'',b'',b'1002.0',b'1014.3',b'07.07',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'10',b'SIRAHA',b'LAHAN',b'2021-12-28',b'12:00:00',b'0.0',b'18.5',b'',b'23.3',b'99',b'',b'062',b'1',b'',b'',b'',b'',b'1002.7',b'1015.1',b'07.07',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'11',b'SIRAHA',b'LAHAN',b'2021-12-28',b'13:00:00',b'0.0',b'18.2',b'',b'',b'99',b'',b'101',b'2',b'',b'',b'',b'',b'1003.0',b'1015.4',b'07.07',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'12',b'SIRAHA',b'LAHAN',b'2021-12-28',b'14:00:00',b'0.0',b'17.8',b'',b'',b'99',b'',b'096',b'2',b'',b'',b'',b'',b'1004.2',b'1016.6',b'07.07',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'13',b'SUNSARI',b'JHUMKA',b'2021-12-01',b'01:00:00',b'0.0',b'14.6',b'',b'',b'',b'',b'062',b'2',b'',b'',b'',b'',b'1011.3',b'1022.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'14',b'SUNSARI',b'JHUMKA',b'2021-12-01',b'02:00:00',b'0.0',b'16.9',b'',b'',b'',b'',b'014',b'2',b'',b'',b'',b'',b'1012.0',b'1023.2',b'00.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'15',b'SUNSARI',b'JHUMKA',b'2021-12-01',b'03:00:00',b'0.0',b'20.5',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'1013.0',b'1024.1',b'01.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.7',b'L'
b'16',b'SUNSARI',b'JHUMKA',b'2021-12-01',b'04:00:00',b'0.0',b'24.5',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'1013.2',b'1024.2',b'02.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'17',b'SUNSARI',b'JHUMKA',b'2021-12-01',b'05:00:00',b'0.0',b'28.6',b'',b'',b'',b'',b'174',b'1',b'',b'',b'',b'',b'1012.7',b'1023.5',b'03.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'18',b'SUNSARI',b'JHUMKA',b'2021-12-01',b'06:00:00',b'0.0',b'30.2',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'1011.2',b'1021.9',b'04.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'19',b'SUNSARI',b'JHUMKA',b'2021-12-01',b'07:00:00',b'0.0',b'31.1',b'',b'',b'',b'',b'197',b'2',b'',b'',b'',b'',b'1009.7',b'1020.4',b'05.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'20',b'SUNSARI',b'JHUMKA',b'2021-12-01',b'08:00:00',b'0.0',b'32.3',b'',b'',b'',b'',b'229',b'1',b'',b'',b'',b'',b'1008.7',b'1019.3',b'06.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'21',b'SUNSARI',b'JHUMKA',b'2021-12-01',b'09:00:00',b'0.0',b'31.8',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'1007.6',b'1018.2',b'07.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
