b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'00:15:00',b'6.0',b'26.6',b'',b'',b'100',b'',b'277',b'2',b'3',b'344',b'1',b'2',b'',b'',b'00.00',b'30.2',b'26',b'',b'31',b'30.5',b'34',b'27.6',b'100',b'',b'',b'12.8',b'L'
b'3',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'00:30:00',b'6.0',b'26.6',b'',b'',b'100',b'',b'318',b'1',b'3',b'16',b'2',b'2',b'',b'',b'00.00',b'30.1',b'26',b'52.8',b'32',b'30.5',b'34',b'27.6',b'100',b'',b'',b'12.8',b'L'
b'4',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'00:45:00',b'6.0',b'26.7',b'',b'',b'100',b'',b'321',b'1',b'3',b'11',b'1',b'3',b'',b'',b'00.00',b'30.1',b'26',b'48.2',b'32',b'30.5',b'34',b'27.6',b'100',b'',b'',b'12.7',b'L'
b'5',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'01:00:00',b'6.0',b'26.8',b'',b'',b'100',b'',b'340',b'2',b'4',b'39',b'3',b'3',b'',b'',b'00.00',b'30.1',b'26',b'46.5',b'32',b'30.5',b'34',b'27.6',b'100',b'',b'',b'12.8',b'L'
b'6',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'01:15:00',b'6.0',b'27.1',b'',b'',b'98',b'',b'339',b'3',b'5',b'35',b'2',b'4',b'',b'',b'00.00',b'30.0',b'26',b'45.0',b'32',b'30.5',b'34',b'27.6',b'100',b'',b'',b'12.9',b'L'
b'7',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'01:30:00',b'6.0',b'27.6',b'',b'',b'95',b'',b'45',b'2',b'5',b'42',b'3',b'4',b'',b'',b'00.00',b'30.0',b'26',b'39.3',b'32',b'30.5',b'34',b'27.6',b'100',b'',b'',b'13.0',b'L'
b'8',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'01:45:00',b'6.0',b'27.8',b'',b'',b'92',b'',b'344',b'4',b'7',b'46',b'3',b'6',b'',b'',b'00.10',b'30.0',b'26',b'46.3',b'32',b'30.5',b'34',b'27.6',b'100',b'',b'',b'12.9',b'L'
b'9',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'02:00:00',b'6.0',b'28.2',b'',b'',b'91',b'',b'175',b'2',b'6',b'44',b'3',b'4',b'',b'',b'00.25',b'30.0',b'26',b'44.5',b'32',b'30.5',b'34',b'27.6',b'100',b'',b'',b'13.0',b'L'
b'10',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'02:15:00',b'6.0',b'28.6',b'',b'',b'89',b'',b'325',b'3',b'6',b'42',b'3',b'5',b'',b'',b'00.40',b'30.0',b'26',b'41.7',b'32',b'30.5',b'34',b'27.6',b'100',b'',b'',b'13.2',b'L'
b'11',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'02:30:00',b'6.0',b'28.9',b'',b'',b'87',b'',b'314',b'3',b'4',b'3',b'2',b'4',b'',b'',b'00.55',b'30.0',b'26',b'39.4',b'33',b'30.5',b'34',b'27.6',b'100',b'',b'',b'13.3',b'L'
b'12',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'02:45:00',b'6.0',b'29.4',b'',b'',b'87',b'',b'349',b'3',b'5',b'29',b'2',b'4',b'',b'',b'01.09',b'30.0',b'26',b'41.3',b'33',b'30.5',b'34',b'27.6',b'100',b'',b'',b'13.4',b'L'
b'13',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'03:00:00',b'6.0',b'29.5',b'26.5',b'',b'85',b'100',b'347',b'2',b'5',b'45',b'2',b'4',b'',b'',b'01.21',b'30.0',b'26',b'39.7',b'33',b'30.5',b'34',b'27.6',b'100',b'',b'',b'13.4',b'L'
b'14',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'03:15:00',b'0.0',b'29.3',b'',b'',b'84',b'',b'300',b'5',b'7',b'204',b'4',b'6',b'',b'',b'01.26',b'30.0',b'26',b'39.9',b'33',b'30.5',b'34',b'27.6',b'100',b'',b'',b'13.4',b'L'
b'15',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'03:30:00',b'0.0',b'29.3',b'',b'',b'85',b'',b'325',b'5',b'7',b'26',b'3',b'6',b'',b'',b'01.26',b'30.1',b'26',b'39.7',b'33',b'30.5',b'34',b'27.6',b'100',b'',b'',b'13.4',b'L'
b'16',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'03:45:00',b'0.0',b'29.9',b'',b'',b'83',b'',b'324',b'3',b'7',b'55',b'2',b'5',b'',b'',b'01.33',b'30.1',b'26',b'41.0',b'34',b'30.6',b'34',b'27.6',b'100',b'',b'',b'13.6',b'L'
b'17',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'04:00:00',b'0.0',b'30.0',b'',b'',b'81',b'',b'324',b'3',b'7',b'39',b'3',b'6',b'',b'',b'01.48',b'30.2',b'26',b'43.9',b'34',b'30.6',b'34',b'27.6',b'100',b'',b'',b'13.6',b'L'
b'18',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'04:15:00',b'0.0',b'30.2',b'',b'',b'79',b'',b'321',b'2',b'7',b'15',b'3',b'6',b'',b'',b'02.00',b'30.2',b'26',b'44.2',b'34',b'30.6',b'34',b'27.6',b'100',b'',b'',b'13.9',b'L'
b'19',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'04:30:00',b'0.0',b'30.3',b'',b'',b'79',b'',b'343',b'3',b'6',b'25',b'4',b'5',b'',b'',b'02.05',b'30.3',b'26',b'44.1',b'34',b'30.6',b'34',b'27.6',b'100',b'',b'',b'14.1',b'L'
b'20',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'04:45:00',b'0.0',b'30.7',b'',b'',b'78',b'',b'302',b'4',b'6',b'182',b'3',b'6',b'',b'',b'02.12',b'30.4',b'26',b'44.6',b'35',b'30.6',b'34',b'27.6',b'100',b'',b'',b'14.2',b'L'
b'21',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'05:00:00',b'0.0',b'31.3',b'',b'',b'74',b'',b'318',b'3',b'8',b'347',b'3',b'8',b'',b'',b'02.26',b'30.4',b'26',b'44.7',b'35',b'30.6',b'34',b'27.7',b'100',b'',b'',b'14.4',b'L'
b'22',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'05:15:00',b'0.0',b'31.5',b'',b'',b'73',b'',b'349',b'6',b'8',b'35',b'6',b'7',b'',b'',b'02.40',b'30.5',b'26',b'44.4',b'36',b'30.6',b'34',b'27.7',b'100',b'',b'',b'14.3',b'L'
b'23',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'05:30:00',b'0.0',b'31.8',b'',b'',b'73',b'',b'319',b'4',b'7',b'50',b'3',b'6',b'',b'',b'02.54',b'30.6',b'26',b'44.6',b'36',b'30.6',b'34',b'27.7',b'100',b'',b'',b'14.4',b'L'
b'24',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'05:45:00',b'0.0',b'31.7',b'',b'',b'73',b'',b'328',b'3',b'6',b'42',b'3',b'5',b'',b'',b'03.01',b'30.8',b'26',b'44.2',b'36',b'30.6',b'34',b'27.7',b'100',b'',b'',b'14.2',b'L'
b'25',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'06:00:00',b'0.0',b'32.1',b'',b'',b'71',b'',b'6',b'2',b'6',b'69',b'1',b'6',b'',b'',b'03.02',b'30.9',b'26',b'44.5',b'36',b'30.6',b'34',b'27.7',b'100',b'',b'',b'14.2',b'L'
b'26',b'SOUTH_WEST_DELHI',b'UJWA_KVK',b'2023-07-01',b'06:15:00',b'0.0',b'32.1',b'',b'',b'72',b'',b'263',b'4',b'5',b'306',b'2',b'5',b'',b'',b'03.02',b'31.3',b'26',b'44.2',b'35',b'30.8',b'34',b'29.2',b'100',b'',b'',b'14.0',b'L'
