b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'NORTH_SIKKIM',b'MANGAN',b'2020-12-24',b'06:00:00',b'0.0',b'17.6',b'',b'',b'55',b'',b'165',b'2',b'',b'',b'',b'',b'881.6',b'1035.6',b'02.11',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'3',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'01:00:00',b'0.0',b'9.8',b'',b'',b'86',b'',b'359',b'0',b'',b'',b'',b'',b'911.6',b'1333.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'4',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'02:00:00',b'0.0',b'11.0',b'',b'',b'86',b'',b'359',b'0',b'',b'',b'',b'',b'912.2',b'1326.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'5',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'03:00:00',b'0.0',b'15.9',b'',b'',b'67',b'',b'359',b'0',b'',b'',b'',b'',b'912.8',b'1296.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'6',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'04:00:00',b'0.0',b'18.6',b'',b'',b'62',b'',b'359',b'0',b'',b'',b'',b'',b'912.9',b'1279.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'7',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'05:00:00',b'0.0',b'20.6',b'',b'',b'57',b'',b'359',b'0',b'',b'',b'',b'',b'912.3',b'1265.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'8',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'06:00:00',b'0.0',b'21.9',b'',b'',b'56',b'',b'359',b'0',b'',b'',b'',b'',b'911.5',b'1255.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'9',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'07:00:00',b'0.0',b'21.2',b'',b'',b'46',b'',b'359',b'0',b'',b'',b'',b'',b'910.3',b'1258.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'10',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'08:00:00',b'0.0',b'20.6',b'',b'',b'48',b'',b'359',b'0',b'',b'',b'',b'',b'909.4',b'1260.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'11',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'09:00:00',b'0.0',b'19.2',b'',b'',b'53',b'',b'359',b'0',b'',b'',b'',b'',b'908.9',b'1269.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'12',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'10:00:00',b'0.0',b'18.4',b'',b'',b'59',b'',b'359',b'0',b'',b'',b'',b'',b'908.6',b'1274.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.3',b'L'
b'13',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'11:00:00',b'0.0',b'14.9',b'',b'',b'73',b'',b'359',b'0',b'',b'',b'',b'',b'908.4',b'1297.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'14',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'12:00:00',b'0.0',b'13.0',b'',b'22.3',b'78',b'',b'359',b'0',b'',b'',b'',b'',b'908.7',b'1310.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'15',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'13:00:00',b'0.0',b'12.8',b'',b'',b'71',b'',b'359',b'0',b'',b'',b'',b'',b'909.2',b'1312.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'16',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'14:00:00',b'0.0',b'12.1',b'',b'',b'70',b'',b'359',b'0',b'',b'',b'',b'',b'909.8',b'1317.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'17',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'15:00:00',b'0.0',b'12.5',b'',b'',b'66',b'',b'359',b'0',b'',b'',b'',b'',b'910.2',b'1315.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'18',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-12-01',b'16:00:00',b'0.0',b'11.6',b'',b'',b'71',b'',b'359',b'0',b'',b'',b'',b'',b'910.3',b'1321.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
